Trying box dimensions: [700, 400, 377], nb_L=1, nb_w=2, nb_h=5
Trying box dimensions: [700, 400, 377], nb_L=0, nb_w=2, nb_h=5
Trying box dimensions: [400, 700, 377], nb_L=1, nb_w=1, nb_h=5
Trying box dimensions: [700, 400, 377], nb_L=1, nb_w=0, nb_h=5
Trying box dimensions: [400, 700, 377], nb_L=3, nb_w=0, nb_h=5
Trying box dimensions: [700, 400, 377], nb_L=1, nb_w=2, nb_h=0
Trying box dimensions: [400, 700, 377], nb_L=3, nb_w=1, nb_h=0
Trying box dimensions: [400, 700, 377], nb_L=3, nb_w=1, nb_h=5
Trying box dimensions: [700, 400, 377], nb_L=0, nb_w=2, nb_h=5
Trying box dimensions: [400, 700, 377], nb_L=0, nb_w=1, nb_h=5
Trying box dimensions: [700, 400, 377], nb_L=1, nb_w=0, nb_h=5
Trying box dimensions: [400, 700, 377], nb_L=3, nb_w=0, nb_h=5
Trying box dimensions: [700, 400, 377], nb_L=1, nb_w=2, nb_h=0
Trying box dimensions: [400, 700, 377], nb_L=3, nb_w=1, nb_h=0
